signal,horizon,regime,ic,n_bars,product
rsi,fwd_ret_8,Contango-Surplus,-0.0514195419859853,1584,WTCL_LCO
rsi,fwd_ret_8,Deep-Contango,-0.0294443062541818,3501,WTCL_LCO
rsi,fwd_ret_8,Easing-Contango,-0.381963953316818,85,WTCL_LCO
rsi,fwd_ret_8,Stable-Depressed,0.0216830306372581,263,WTCL_LCO
open_gap,fwd_ret_1,ALL,-0.00716711446215807,65134,WTCL_LCO
open_gap,fwd_ret_1,Warm-Up,-0.00714645681290725,27862,WTCL_LCO
open_gap,fwd_ret_1,Stable-Elevated,-0.00234090986569838,13293,WTCL_LCO
open_gap,fwd_ret_1,Easing-Backwardation,-0.00419261832273016,10341,WTCL_LCO
open_gap,fwd_ret_1,Deep-Backwardation,0.00677150296089625,4908,WTCL_LCO
open_gap,fwd_ret_1,Backwardation-Deficit,0.0551956891782177,155,WTCL_LCO
open_gap,fwd_ret_1,Transition-Tightening,-0.0302915013911339,1151,WTCL_LCO
open_gap,fwd_ret_1,Transition-Loosening,-0.0309281969836161,1793,WTCL_LCO
open_gap,fwd_ret_1,Contango-Surplus,0.00153285042788163,1584,WTCL_LCO
open_gap,fwd_ret_1,Deep-Contango,-0.0301206586483758,3501,WTCL_LCO
open_gap,fwd_ret_1,Easing-Contango,,85,WTCL_LCO
open_gap,fwd_ret_1,Stable-Depressed,0.095012923765528,263,WTCL_LCO
open_gap,fwd_ret_4,ALL,-0.0174713923586083,65134,WTCL_LCO
open_gap,fwd_ret_4,Warm-Up,-0.0206934888911933,27862,WTCL_LCO
open_gap,fwd_ret_4,Stable-Elevated,-0.00482402242811244,13293,WTCL_LCO
open_gap,fwd_ret_4,Easing-Backwardation,-0.00416278143665127,10341,WTCL_LCO
open_gap,fwd_ret_4,Deep-Backwardation,0.00600008347600952,4908,WTCL_LCO
open_gap,fwd_ret_4,Backwardation-Deficit,0.238746708046464,155,WTCL_LCO
open_gap,fwd_ret_4,Transition-Tightening,-0.0186293765390541,1151,WTCL_LCO
open_gap,fwd_ret_4,Transition-Loosening,-0.0932833619832116,1793,WTCL_LCO
open_gap,fwd_ret_4,Contango-Surplus,-2.55077078063463e-05,1584,WTCL_LCO
open_gap,fwd_ret_4,Deep-Contango,-0.0474984791683607,3501,WTCL_LCO
open_gap,fwd_ret_4,Easing-Contango,,85,WTCL_LCO
open_gap,fwd_ret_4,Stable-Depressed,0.19635771001332,263,WTCL_LCO
open_gap,fwd_ret_8,ALL,-0.0193891830818379,65134,WTCL_LCO
open_gap,fwd_ret_8,Warm-Up,-0.0251890205795363,27862,WTCL_LCO
open_gap,fwd_ret_8,Stable-Elevated,-0.00339862304125775,13293,WTCL_LCO
open_gap,fwd_ret_8,Easing-Backwardation,0.00426095648002475,10341,WTCL_LCO
open_gap,fwd_ret_8,Deep-Backwardation,0.0340108254359764,4908,WTCL_LCO
open_gap,fwd_ret_8,Backwardation-Deficit,0.227156696008154,155,WTCL_LCO
open_gap,fwd_ret_8,Transition-Tightening,-0.0219760046659248,1151,WTCL_LCO
open_gap,fwd_ret_8,Transition-Loosening,-0.111682481327127,1793,WTCL_LCO
open_gap,fwd_ret_8,Contango-Surplus,0.000383174989132203,1584,WTCL_LCO
open_gap,fwd_ret_8,Deep-Contango,-0.0783323833281994,3501,WTCL_LCO
open_gap,fwd_ret_8,Easing-Contango,,85,WTCL_LCO
open_gap,fwd_ret_8,Stable-Depressed,0.268513932708767,263,WTCL_LCO
